Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
CHASE SECURITIES, INC|nan|nan|4/1/1996|4/30/2001|nan|2943
BZW SECURITIES INC.|nan|nan|7/1/1996|3/31/1998|nan|12673
CREDIT SUISSE FIRST BOSTON CO|nan|nan|12/16/1996|1/16/2003|nan|61840
PARIBAS CORPORATION|nan|nan|5/1/1997|9/14/2000|nan|15532
DRESDNER KLEINWORT BENSON NOR|nan|nan|5/8/1997|4/29/2001|nan|15577
BANCAMERICA ROBERTSON STEPHEN|nan|nan|10/1/1997|8/31/1998|nan|2014
BT ALEX. BROWN INCORPORATED|nan|nan|10/23/1997|6/4/1999|nan|15576
CIBC OPPENHEIMER CORP.|nan|nan|12/4/1997|5/2/1999|nan|15581
BARCLAYS CAPITAL INC.|nan|nan|4/1/1998|Current|nan|12673
DEUTSCHE BANK SECURITIES INC.|nan|nan|6/1/1998|1/11/2001|nan|15576
BANCAMERICA SECURITIES, INC.|nan|nan|9/1/1998|9/30/1998|nan|2014
SALOMON SMITH BARNEY INC.|nan|nan|9/1/1998|4/6/2003|nan|60841
BANC ONE CAPITAL MARKETS, INC|nan|nan|4/1/1999|8/1/2004|nan|2968
CIBC WORLD MARKETS CORP.|nan|nan|5/3/1999|2/8/2007|nan|15581
BANC OF AMERICA SECURITIES LLC|nan|nan|5/17/1999|11/1/2010|nan|1494
HSBC SECURITIES (USA) INC.|nan|nan|6/1/1999|Current|nan|15509
BMO NESBITT BURNS CORP.|nan|nan|2/15/2000|3/31/2002|nan|15580
UBS WARBURG LLC.|nan|nan|5/1/2000|6/8/2003|nan|144496
BNP PARIBAS SECURITIES CORP.|nan|nan|9/15/2000|Current|nan|15532
DEUTSCH BANC ALEX. BROWN INC.|nan|nan|1/12/2001|3/29/2002|nan|15576
DRESDNER KLEINWORT WASSERSTEIN LLC|nan|nan|4/30/2001|6/4/2008|nan|12673
J.P. MORGAN SECURITIES INC.|nan|nan|5/1/2001|9/1/2010|nan|2968
DEUTSCHE BANK SECURITIES INC.|nan|nan|3/30/2002|Current|nan|15576
MIZUHO SECURITIES USA INC.|nan|nan|4/1/2002|Current|nan|248136
ABN AMRO BANK, N.V., NY BR|nan|nan|12/9/2002|9/15/2006|nan|320764
CREDIT SUISSE 1ST BOSTON LLC|nan|nan|1/17/2003|1/16/2006|nan|61840
CITIGROUP GLOBAL MARKETS INC.|nan|nan|4/7/2003|Current|nan|3243
UBS SECURITIES LLC.|nan|nan|6/9/2003|Current|nan|144496
COUNTRYWIDE SECURITIES CORPORATION|nan|nan|1/15/2004|7/15/2008|nan|8299
CREDIT SUISSE SECURITIES (USA) LLC|nan|nan|1/16/2006|Current|nan|30219
JEFFERIES & COMPANY, INC.|nan|nan|6/18/2009|3/1/2013|nan|12673
RBC CAPITAL MARKETS CORPORATION|nan|nan|7/8/2009|11/1/2010|nan|12673
NOMURA SECURITIES INTERNATIONAL,INC|nan|nan|7/27/2009|Current|nan|177745
DAIWA CAPITAL MARKETS AMERICA INC.|nan|nan|4/1/2010|Current|nan|2029
J.P. MORGAN SECURITIES LLC|nan|nan|9/1/2010|Current|nan|15582
MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED|nan|nan|11/1/2010|Current|nan|7647
RBC CAPITAL MARKETS, LLC|nan|nan|11/1/2010|Current|nan|2014
MF GLOBAL INC.|nan|nan|2/2/2011|10/31/2011|nan|2014
SG AMERICAS SECURITIES, LLC|nan|nan|2/2/2011|Current|nan|2968
MORGAN STANLEY & CO. LLC|nan|nan|5/31/2011|Current|nan|1494
BANK OF NOVA SCOTIA, NEW YORK AGENCY|nan|nan|10/4/2011|Current|nan|7647
BMO CAPITAL MARKETS CORP.|nan|nan|10/4/2011|Current|nan|15580
TD SECURITIES (USA) LLC|nan|nan|2/11/2014|Current|nan|320764
